sPickTime,tPickTime,Comments,
671,6.508769137,answered 2 phone calls: 1 min and 3 min,
387,5.958424693,-,
165,5.105945474,-,
275,5.616771098,-,
260,5.560681631,quick phone call,
318,5.762051383,half finished pick list accounting for very fast time to get disposables,
539,6.289715571,"urgent, confusion with materials for the surgery",
619,6.428105273,"Started picking after 3pm. Had to leave at 3:30pm for union meeting. Possibly rushed picking times. 2 Phone distractions totalling 80s. One for non-urgent emergency (see next line)",
188,5.236441963,,
82,4.406719247,Started picking after 3pm. Had to leave at 3:30pm for union meeting. Possibly rushed picking times.,
155,5.043425117,Started picking after 3pm. Had to leave at 3:30pm for union meeting. Possibly rushed picking times.,
141,4.94875989,Started picking after 3pm. Had to leave at 3:30pm for union meeting. Possibly rushed picking times.,
474,6.161207322,Started picking after 3pm. Had to leave at 3:30pm for union meeting. Possibly rushed picking times.,
668,6.504288174,"Explanations, Phone time: 25 sec + 1min29sec",
157,5.056245805,add on,
879,6.778784898,"another worker in near picklist, helps another worker, gone for a few minutes",
448,6.104793232,-,
517,6.248042875,traffic near picklist area,
980,6.887552572,8:59 doing the emergency case,
165,5.105945474,"Due to BK leaving at 3:30pm, CY (not a picker) handled this emergency non-urgent case cart. Experienced confusion with a disposable item needing another staff's help.",
200,5.298317367,This case and case GOR-2018-7193 were picked together and placed in the same cart,
455,6.120297419,Explanations 3min40 sec + 20 sec,
820,6.70930434,Staff distraction 20 sec + 20 sec,
440,6.086774727,-,
480,6.173786104,Staff distraction 20 sec,
730,6.593044534,"Big Cart Staff distraction 1 min 30 sec",
123,4.812184355,-,
322,5.774551546,Staff distraction 20 sec,
55,4.007333185,This case and case GOR-2018-6552 were picked together and placed in the same cart,
304,5.717027701,-,
610,6.413458957,"Big Cart Staff distraction 20 sec + 2 min 20 sec went upstairs to OR",
110,4.700480366,This case and case GOR-2018-7525 were picked together and placed in the same cart,
313,5.746203191,-,
268,5.590986981,"Readjusted previous case cart that not was not used, picked additional items and removed out uncessary ones",
381,5.942799375,-,
438,6.08221891,Checked reference,
230,5.438079309,,
435,6.075346031,Readjusted unused cart before,
270,5.598421959,,
163,5.093750201,,
204,5.318119994,,
192,5.257495372,,
253,5.533389489,GOR-2018-6072 & GOR-2018-7457 are picked and placed in the same cart,
159,5.068904202,GOR-2018-7186 & GOR-2018-6075 are picked together into 1 case cart,
469,6.150602768,,
82.5,4.412798293,GOR-2018-7440 & GOR-2018-7194 are picked together into 1 case cart,
51.67,3.944877342,"GOR-2018-7212, GOR-2018-7213 & GOR-2018-7214 are picked together into 1 case cart",
228,5.429345629,,
218,5.384495063,,
136,4.912654886,,
257,5.549076085,"The case cart was already picked from before, it had been double picked so she just adjusted the cart for this case",
366,5.902633333,,
238,5.472270674,,
96.67,4.571303116,GOR-2018-6817 GOR-2018-6811 GOR-2018-6179 done together,
397,5.983936281,,
503,6.22059017,,
228.5,5.43153621,"GOR-2018-5735GOR-2018-5696 done together",
467.5,6.147399349,"Phone calls 24s + 15s""GOR-2018-4126GOR-2018-6649 done together""",
250,5.521460918,,
318,5.762051383,"Phone calls 11s + 18s + 5s, talking to colleagues",
343,5.837730447,,
362,5.891644212,"No disruptions, but took some time to open new boxes and grab items for later to make other things easier","Extra Comments: Cecilia said that she does not think the packs will shorten pick times, as many of the pickers are short women, even currently they have trouble reaching some high and heavy items. As the packs will be very heavy, they may take longer (may have to wait for someone else to help, or grab a smaller cart to go into the shelf so they do not have to carry it to the main cart)."
223,5.407171771,,
284,5.648974238,Colleague asked Cecilia a question,
185,5.220355825,,
72,4.276666119,only disposable items,
274,5.613128106,answer phone,
310,5.736572297,already prepicked some items from prev case,
332,5.805134969,,
272,5.605802066,,
423,6.047372179,,
169,5.129898715,"only disposables, also light traffic near pick area",
269,5.59471138,,
309,5.733341277,,
134,4.8978398,"no picklist for this one, did the picking in her head, 1:37-1:52 phone call",
138,4.927253685,using general supplies for plastic,
532,6.276643489,,
291,5.673323267,,
407,6.008813185,,
187,5.231108617,,
369,5.910796644,"answer 2 calls before disposable and 1 phone call as well as ask something after disposable55 sec b4 disposable & 1:47 after ",
224,5.411646052,"unintentionally explaining stuff, she likes to do a few cases at a time before actually rolling the carts to their destination. Therefore the stop time is when the person closes cart and does not include rolling it to the proper place.",
501,6.216606101,,
175,5.164785974,,
609,6.411818268,not finished,
96,4.564348191,GOR-2018-7445 and GOR-2018-7456 picked in same case cart,
210,5.347107531,,
190,5.247024072,,
455,6.120297419,staff distraction,
443,6.09356977,,
450,6.109247583,staff distraction,
235,5.459585514,small case,
260,5.560681631,,
340,5.828945618,staff distraction,
545,6.300785795,,
261,5.564520407,,
562,6.33150185,big cart,
580,6.363028104,,
215,5.370638028,,
195,5.272999559,,
284,5.648974238,only 2 instruments so total duration approx. equal to disposable only time,
380,5.940171253,did not park cart,
106.67,4.669739957,This case and case GOR-2018-7464 and GOR-2018-7463 were picked together and placed in the same cart,
168.5,5.12693575,"GOR-2018-7795 & GOR-2018-7792 are picked together and put into 1 case cartGold lists come every Thursday morning",
84,4.430816799,GOR-2018-7794 & GOR-2018-7796 are picked together and put into 1 case cart,
155.5,5.046645732,GOR-2018-7719 & GOR-2018-7793 are picked together and put into 1 case cart,
349,5.855071922,,
540,6.29156914,,
401,5.993961427,,
580,6.363028104,,
589,6.378426184,,
367,5.905361848,,
299,5.700443573,,
568,6.342121419,,
576,6.356107661,,
317,5.758901774,,
246,5.505331536,,
140.67,4.946416722,"GOR-2018-7561, GOR-2018-7476 & GOR-2018-7480 are picked together into 1 case cart",
773,6.650279049,Missing items are kept upstairs,
133,4.890349128,,
228,5.429345629,,
370,5.913503006,,
325,5.783825182,the case is half picked already,
428,6.059123196,,
256,5.545177444,,
365,5.899897354,,
845,6.739336627,2 phone calls,
878,6.777646594,"Had to check the birs, possibly longer than usual",
288,5.66296048,,
195,5.272999559,"Picked together with GOR-2018-7557 (both paed tonsils myrin). The following 4 cases are placed in the same cart: 7554, 7550, 7548, and 7557",
336,5.81711116,"Breast reconstruction, she said it was a cross, plastic + general",
409,6.013715156,,
49,3.891820298,,
336,5.81711116,,
205,5.323009979,,
2067,7.63385356,"Pink list. Received 10 phone calls during picking. Staff commented it was the most hectic morning they had in awhile. Initially had missing instrument, but was taken to put in case cart of a previously picked ortho case.",
465,6.142037406,Pink list.,
585,6.371611847,"Pink List. Phone call was due to centre core missing an item, requested a runner to deliver",
114,4.736198448,Add on to gynae list from night before,
511,6.23636959,1 phone call,
169,5.129898715,"Picked together with GOR-2018-7550 (both paed tonsils). The following 4 cases are placed in the same cart: 7554, 7550, 7548, and 7555",
441,6.089044875,,
417,6.033086222,"Had to move empty carts, phone call",
290,5.669880923,"Had location of an item but there was no item description, had to check location and item number to see if it corresponded to anything. Left a question mark and marked as not missing anything",
229,5.433722004,,
107.5,4.677490848,"GOR-2018-7676GOR-2018-7785 done together",
498,6.210600077,Talking to other coworkers,
438,6.08221891,Answered coworkers questions,
175,5.164785974,,
50,3.912023005,"GOR-2018-7809GOR-2018-7378GOR-2018-7915GOR-2018-6262 done together",
183,5.209486153,,
335,5.814130532,,
155.5,5.046645732,"GOR-2018-7092GOR-2018-7094 done together",
55,4.007333185,"Used an old cart, so many items were already picked",
375,5.926926026,Used some instruments from an old cart so she wouldn't have to put the old cart away,
182,5.204006687,,
491,6.196444128,"Two phone calls, had to bring something to the OR",
467,6.146329258,Two phone calls ,
136,4.912654886,"Already picked cart, had to double check to make sure everything was there",
172,5.147494477,,
283,5.645446898,,
294,5.683579767,,
145,4.976733742,,
106,4.663439094,the following 4 are in the same cart so the end time does not include rolling cart,
47,3.850147602,,
62,4.127134385,,
126,4.836281907,,
285,5.65248918,,
276,5.620400866,,
366,5.902633333,1 minute finding cart,
118,4.770684624,"preference card mistake, had to rely on memory to pick this case",
187,5.231108617,,
260,5.560681631,"40 sec talking to other coworker, 10 seconds talking to me before case finished",
81,4.394449155,add on case,
462,6.135564891,that time was spent talking on the phone and answering door,
291,5.673323267,,
756,6.628041376,,
364,5.897153868,,
493,6.200509174,,
392,5.97126184,,
175,5.164785974,59 seconds talking to coworker,
411,6.018593214,,
127,4.844187086,,
